epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.65,1.23977,2.97454,0.95301,0.45178,0.52565,0.48019,0.31216,1.03685,1.73723,0.90665,8.32013e-05,8.32013e-05,8.32013e-05
2,257.15,0.93987,1.64477,0.89732,0.67093,0.65792,0.70071,0.53616,0.7838,1.2233,0.87228,0.000164886,0.000164886,0.000164886
3,388.781,0.83455,1.33448,0.87978,0.71813,0.71209,0.77425,0.598,0.75625,1.09634,0.86878,0.000244921,0.000244921,0.000244921
4,505.959,0.73898,1.13524,0.86352,0.75875,0.73605,0.80814,0.6583,0.66247,0.92867,0.84858,0.000242575,0.000242575,0.000242575
5,624.874,0.67899,1.01616,0.85399,0.79506,0.75345,0.82385,0.67426,0.67023,0.85836,0.84665,0.0002401,0.0002401,0.0002401
6,968.77,0.65096,0.94173,0.8472,0.80844,0.78996,0.86092,0.72672,0.58467,0.7664,0.83418,0.000237625,0.000237625,0.000237625
7,1086.62,0.6184,0.88103,0.84355,0.80656,0.78825,0.85779,0.71898,0.61646,0.75055,0.83351,0.00023515,0.00023515,0.00023515
8,1204.01,0.60703,0.84003,0.83916,0.84333,0.78782,0.87317,0.74971,0.54999,0.69349,0.82263,0.000232675,0.000232675,0.000232675
9,1319.13,0.59011,0.79152,0.83592,0.84818,0.81682,0.88972,0.77318,0.52036,0.65543,0.82219,0.0002302,0.0002302,0.0002302
10,1436.19,0.56808,0.76146,0.83195,0.84772,0.8056,0.88442,0.7553,0.55445,0.66425,0.82667,0.000227725,0.000227725,0.000227725
11,1550.84,0.56314,0.73783,0.83127,0.86399,0.81182,0.89369,0.77153,0.5352,0.62395,0.82513,0.00022525,0.00022525,0.00022525
12,1670.11,0.54892,0.7253,0.82674,0.84001,0.83301,0.89556,0.76642,0.55856,0.62213,0.82422,0.000222775,0.000222775,0.000222775
13,1788.43,0.54601,0.68989,0.82448,0.87497,0.84264,0.91229,0.80391,0.48113,0.56382,0.81238,0.0002203,0.0002203,0.0002203
14,1905.66,0.53729,0.68439,0.82469,0.8686,0.82877,0.90225,0.78799,0.51554,0.59001,0.82025,0.000217825,0.000217825,0.000217825
15,2022.48,0.5406,0.67819,0.82552,0.8558,0.83831,0.90307,0.79105,0.50342,0.58473,0.82016,0.00021535,0.00021535,0.00021535
16,2144.53,0.52461,0.65402,0.82326,0.88042,0.84301,0.91657,0.81148,0.47296,0.55338,0.81235,0.000212875,0.000212875,0.000212875
17,2261.53,0.52329,0.64606,0.82074,0.88422,0.84774,0.91788,0.80924,0.48627,0.54676,0.81364,0.0002104,0.0002104,0.0002104
18,2380.2,0.52046,0.6252,0.82123,0.8547,0.83499,0.89364,0.77105,0.54092,0.58861,0.82681,0.000207925,0.000207925,0.000207925
19,2497.2,0.51277,0.61554,0.82018,0.86237,0.85643,0.91166,0.79666,0.50696,0.53673,0.81986,0.00020545,0.00020545,0.00020545
20,2614.59,0.50897,0.6018,0.81862,0.86824,0.84849,0.90993,0.78853,0.53607,0.54738,0.8249,0.000202975,0.000202975,0.000202975
21,2731.51,0.51146,0.60636,0.82101,0.86407,0.85656,0.91399,0.80279,0.49543,0.54521,0.81653,0.0002005,0.0002005,0.0002005
