epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.9001,1.40533,3.88917,0.97127,0.11377,0.24029,0.10161,0.06518,1.17702,2.67659,0.91605,8.30705e-05,8.30705e-05,8.30705e-05
2,188.848,1.1293,2.60517,0.9198,0.3298,0.42849,0.36151,0.24584,1.05852,2.03102,0.90332,0.000164756,0.000164756,0.000164756
3,323.488,1.02009,2.14302,0.90651,0.47554,0.52652,0.49743,0.33395,1.04937,1.7527,0.90502,0.000244792,0.000244792,0.000244792
4,452,0.96277,1.91242,0.89916,0.5342,0.59092,0.59853,0.4239,0.94445,1.54843,0.89613,0.000242575,0.000242575,0.000242575
5,570.219,0.89696,1.73497,0.89048,0.58321,0.629,0.64381,0.47023,0.86346,1.43478,0.88744,0.0002401,0.0002401,0.0002401
6,708.219,0.86073,1.61084,0.88356,0.65101,0.65736,0.69077,0.5409,0.76272,1.27693,0.86458,0.000237625,0.000237625,0.000237625
7,826.202,0.81852,1.49173,0.8769,0.68875,0.68494,0.73902,0.58356,0.72649,1.18691,0.85665,0.00023515,0.00023515,0.00023515
8,897.744,0.78328,1.39215,0.8698,0.74455,0.69237,0.77276,0.6307,0.68965,1.08293,0.84689,0.000232675,0.000232675,0.000232675
9,977.344,0.73848,1.2912,0.86249,0.73048,0.69737,0.77083,0.61884,0.69256,1.08404,0.8551,0.0002302,0.0002302,0.0002302
10,1107.6,0.69323,1.20687,0.85356,0.77084,0.74312,0.81408,0.6966,0.57007,0.92556,0.82939,0.000227725,0.000227725,0.000227725
11,1247.24,0.67587,1.15275,0.84965,0.77182,0.73958,0.81474,0.68223,0.61103,0.93906,0.84025,0.00022525,0.00022525,0.00022525
12,1385.19,0.6553,1.10651,0.84575,0.79201,0.75535,0.83169,0.70164,0.58814,0.89888,0.83407,0.000222775,0.000222775,0.000222775
