epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2823,1.39169,3.88444,0.96659,0.10671,0.26272,0.09902,0.06494,1.16193,2.68081,0.92028,8.30696e-05,8.30696e-05,8.30696e-05
2,119.184,1.11764,2.58238,0.91415,0.33679,0.44435,0.36762,0.24226,1.10068,2.04411,0.91087,0.000164756,0.000164756,0.000164756
3,189.878,1.02723,2.1446,0.90051,0.46939,0.53676,0.50822,0.35112,1.00604,1.73678,0.90366,0.000244792,0.000244792,0.000244792
4,262.054,0.95701,1.8995,0.89445,0.53554,0.57724,0.58672,0.44244,0.83362,1.54924,0.87701,0.000242575,0.000242575,0.000242575
5,344.169,0.89666,1.71995,0.89047,0.59108,0.6203,0.6425,0.4699,0.86111,1.42723,0.88532,0.0002401,0.0002401,0.0002401
6,409.119,0.85008,1.59025,0.8807,0.64049,0.65087,0.68902,0.52447,0.78481,1.34188,0.86877,0.000237625,0.000237625,0.000237625
7,473.327,0.80797,1.47893,0.87504,0.66894,0.66073,0.71335,0.52045,0.85169,1.26062,0.8818,0.00023515,0.00023515,0.00023515
8,539.614,0.75744,1.34768,0.86108,0.70427,0.7001,0.75462,0.59536,0.75585,1.11344,0.86194,0.000232675,0.000232675,0.000232675
9,610.231,0.71991,1.26368,0.85678,0.73952,0.72806,0.78972,0.65661,0.62645,1.02195,0.84518,0.0002302,0.0002302,0.0002302
10,690.157,0.69586,1.21105,0.85235,0.76766,0.73562,0.80949,0.67146,0.63565,0.97567,0.84297,0.000227725,0.000227725,0.000227725
11,761.257,0.67675,1.14888,0.85164,0.77107,0.75972,0.82343,0.68707,0.63164,0.91243,0.83915,0.00022525,0.00022525,0.00022525
12,830.641,0.652,1.08807,0.8452,0.80653,0.78315,0.84989,0.72881,0.55895,0.84951,0.82646,0.000222775,0.000222775,0.000222775
13,900.665,0.64356,1.04889,0.84366,0.79244,0.76534,0.8392,0.70667,0.60271,0.87174,0.84462,0.0002203,0.0002203,0.0002203
14,969.648,0.62996,1.01277,0.84204,0.80706,0.78081,0.85175,0.72291,0.57814,0.8195,0.82777,0.000217825,0.000217825,0.000217825
15,1042.45,0.62285,0.98676,0.83865,0.82084,0.78935,0.85992,0.73473,0.57155,0.79641,0.83012,0.00021535,0.00021535,0.00021535
16,1112.16,0.61581,0.95655,0.83666,0.82538,0.80238,0.87364,0.75421,0.53459,0.76394,0.82095,0.000212875,0.000212875,0.000212875
17,1183.42,0.60201,0.92931,0.83548,0.84021,0.79793,0.87715,0.7619,0.52514,0.75267,0.82115,0.0002104,0.0002104,0.0002104
18,1252.78,0.59792,0.92282,0.83408,0.82227,0.79757,0.87214,0.74764,0.54938,0.76105,0.82458,0.000207925,0.000207925,0.000207925
19,1322.33,0.59073,0.88688,0.83317,0.82481,0.8081,0.87659,0.75635,0.54152,0.73247,0.82552,0.00020545,0.00020545,0.00020545
