epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9202,0.92867,3.78222,0.8829,0.1194,0.28362,0.10473,0.08681,0.64858,2.55865,0.82763,8.30508e-05,8.30508e-05,8.30508e-05
2,148.926,0.69495,2.44857,0.84009,0.36348,0.46711,0.37448,0.3188,0.59376,1.92545,0.82087,0.000164737,0.000164737,0.000164737
3,219.83,0.63182,1.96563,0.83222,0.51249,0.54796,0.53536,0.46763,0.52001,1.54029,0.81332,0.000244773,0.000244773,0.000244773
4,300.493,0.6047,1.6765,0.82865,0.59666,0.59936,0.62193,0.54176,0.53418,1.33344,0.81318,0.000242575,0.000242575,0.000242575
5,393.377,0.57441,1.47583,0.82584,0.65442,0.65278,0.70277,0.61946,0.49013,1.17071,0.81114,0.0002401,0.0002401,0.0002401
6,486.295,0.56313,1.33595,0.82323,0.70121,0.70035,0.75172,0.6656,0.47646,1.03145,0.80908,0.000237625,0.000237625,0.000237625
7,557.254,0.54866,1.24389,0.82099,0.73419,0.69151,0.77916,0.68826,0.48204,0.97391,0.80995,0.00023515,0.00023515,0.00023515
8,624.72,0.54117,1.16295,0.82007,0.77164,0.71859,0.80791,0.70933,0.49165,0.90411,0.81,0.000232675,0.000232675,0.000232675
9,694.576,0.53168,1.09267,0.81908,0.76211,0.73916,0.81644,0.72692,0.45788,0.86615,0.80535,0.0002302,0.0002302,0.0002302
10,764.83,0.52434,1.04807,0.817,0.76956,0.76379,0.83224,0.73824,0.4696,0.82894,0.80594,0.000227725,0.000227725,0.000227725
11,835.035,0.5205,1.00606,0.81804,0.79974,0.76418,0.84667,0.75497,0.44954,0.78687,0.80342,0.00022525,0.00022525,0.00022525
12,909.22,0.51632,0.96719,0.81478,0.79241,0.77469,0.84837,0.75661,0.45311,0.78003,0.8047,0.000222775,0.000222775,0.000222775
13,984.859,0.51064,0.92793,0.81606,0.8222,0.76197,0.86069,0.77017,0.44683,0.76493,0.80317,0.0002203,0.0002203,0.0002203
14,1056.03,0.50224,0.90158,0.81302,0.81252,0.78528,0.86735,0.77242,0.45134,0.72436,0.80302,0.000217825,0.000217825,0.000217825
15,1125.88,0.50279,0.87721,0.81281,0.8077,0.7922,0.8667,0.77636,0.44288,0.71641,0.80174,0.00021535,0.00021535,0.00021535
16,1198.41,0.50249,0.8616,0.81418,0.8071,0.81204,0.87446,0.78562,0.42989,0.69398,0.80082,0.000212875,0.000212875,0.000212875
17,1269.58,0.49378,0.83481,0.81149,0.82713,0.80291,0.88064,0.79143,0.43318,0.68453,0.8004,0.0002104,0.0002104,0.0002104
18,1349.47,0.48882,0.80696,0.81085,0.82814,0.80431,0.88535,0.79874,0.41942,0.66833,0.79871,0.000207925,0.000207925,0.000207925
19,1428.16,0.49478,0.80131,0.81149,0.85023,0.80589,0.89405,0.80666,0.42212,0.65051,0.79977,0.00020545,0.00020545,0.00020545
20,1502.83,0.48662,0.78624,0.81034,0.8331,0.82356,0.89295,0.80601,0.42009,0.64161,0.7989,0.000202975,0.000202975,0.000202975
21,1579.44,0.48381,0.76391,0.80892,0.8338,0.81987,0.89397,0.8048,0.42953,0.6314,0.80002,0.0002005,0.0002005,0.0002005
22,1648.59,0.48386,0.751,0.81058,0.83793,0.82377,0.89515,0.80697,0.42122,0.62761,0.79906,0.000198025,0.000198025,0.000198025
23,1717.21,0.48101,0.73942,0.81026,0.8359,0.82198,0.89906,0.80971,0.42625,0.61598,0.79913,0.00019555,0.00019555,0.00019555
24,1789.99,0.47494,0.72931,0.80824,0.84531,0.82373,0.90026,0.81162,0.4243,0.60637,0.7983,0.000193075,0.000193075,0.000193075
25,1861.35,0.47905,0.72064,0.81059,0.8548,0.82685,0.90535,0.81683,0.422,0.59426,0.79869,0.0001906,0.0001906,0.0001906
26,1932.43,0.47204,0.70197,0.8086,0.84744,0.83195,0.90537,0.81755,0.41731,0.58447,0.79744,0.000188125,0.000188125,0.000188125
27,2003.73,0.47213,0.69626,0.80694,0.85812,0.84073,0.91298,0.8268,0.41459,0.57317,0.79721,0.00018565,0.00018565,0.00018565
28,2076.72,0.4721,0.68852,0.80907,0.85731,0.83361,0.91093,0.82696,0.4096,0.56936,0.79624,0.000183175,0.000183175,0.000183175
29,2144.83,0.46576,0.67876,0.80771,0.84932,0.83716,0.90642,0.82174,0.41256,0.57305,0.79759,0.0001807,0.0001807,0.0001807
30,2213.79,0.46798,0.67112,0.80769,0.86153,0.8303,0.90757,0.82256,0.41543,0.56923,0.79769,0.000178225,0.000178225,0.000178225
31,2283.51,0.4646,0.65731,0.8057,0.86551,0.83899,0.91201,0.82846,0.40926,0.55652,0.7964,0.00017575,0.00017575,0.00017575
32,2356.25,0.46326,0.65185,0.80447,0.85613,0.85013,0.91623,0.83155,0.41245,0.54551,0.79541,0.000173275,0.000173275,0.000173275
33,2425.66,0.46266,0.64011,0.80475,0.85615,0.85306,0.91766,0.83316,0.40816,0.53854,0.7949,0.0001708,0.0001708,0.0001708
34,2496.76,0.45841,0.6369,0.80514,0.85016,0.84848,0.91353,0.83294,0.39848,0.5413,0.79379,0.000168325,0.000168325,0.000168325
35,2568.33,0.4608,0.62469,0.80331,0.85978,0.84752,0.9162,0.8366,0.39589,0.537,0.7926,0.00016585,0.00016585,0.00016585
36,2639.41,0.45924,0.61894,0.80404,0.8615,0.84646,0.91923,0.83871,0.39654,0.52956,0.79317,0.000163375,0.000163375,0.000163375
37,2712.2,0.45667,0.61708,0.8036,0.86904,0.85306,0.92274,0.84002,0.40447,0.52209,0.79361,0.0001609,0.0001609,0.0001609
38,2784.61,0.45313,0.60958,0.80352,0.86223,0.862,0.9236,0.8424,0.39684,0.51427,0.79284,0.000158425,0.000158425,0.000158425
39,2854.67,0.45304,0.60263,0.80273,0.87056,0.84501,0.92188,0.84251,0.39539,0.51756,0.79242,0.00015595,0.00015595,0.00015595
40,2924.21,0.4521,0.59402,0.80422,0.86728,0.84969,0.92062,0.84139,0.39528,0.51677,0.79273,0.000153475,0.000153475,0.000153475
41,2991.47,0.4546,0.60217,0.80346,0.86567,0.85796,0.92518,0.84677,0.39087,0.5059,0.79202,0.000151,0.000151,0.000151
42,3060.63,0.4471,0.58728,0.80257,0.85947,0.85503,0.92417,0.84187,0.40092,0.51154,0.79207,0.000148525,0.000148525,0.000148525
43,3130.04,0.44834,0.57853,0.80307,0.8712,0.85246,0.92474,0.84473,0.39458,0.50282,0.79272,0.00014605,0.00014605,0.00014605
44,3202.47,0.4495,0.57666,0.80195,0.86719,0.8565,0.92424,0.84411,0.39733,0.5029,0.79248,0.000143575,0.000143575,0.000143575
45,3271.99,0.44533,0.57216,0.80016,0.8773,0.85443,0.92428,0.84822,0.38614,0.50001,0.79116,0.0001411,0.0001411,0.0001411
46,3343.43,0.44652,0.56733,0.80172,0.87373,0.86289,0.93069,0.85271,0.38705,0.48523,0.79171,0.000138625,0.000138625,0.000138625
47,3414.23,0.44491,0.55859,0.80161,0.87836,0.85415,0.92877,0.85034,0.38935,0.4879,0.79078,0.00013615,0.00013615,0.00013615
48,3486.44,0.44412,0.55644,0.80199,0.87316,0.8567,0.92515,0.84837,0.38897,0.49543,0.79131,0.000133675,0.000133675,0.000133675
49,3558.71,0.44635,0.55509,0.80207,0.88274,0.85208,0.92979,0.85263,0.38766,0.48368,0.79155,0.0001312,0.0001312,0.0001312
50,3630.38,0.44247,0.54469,0.80066,0.86848,0.87096,0.931,0.8549,0.38774,0.47895,0.79162,0.000128725,0.000128725,0.000128725
51,3699.93,0.44253,0.54612,0.80224,0.88041,0.84653,0.92773,0.85285,0.38603,0.48681,0.79095,0.00012625,0.00012625,0.00012625
52,3767.13,0.441,0.53488,0.80037,0.88221,0.86351,0.93274,0.85755,0.38409,0.47448,0.79065,0.000123775,0.000123775,0.000123775
53,3834.29,0.4396,0.53769,0.80199,0.87878,0.85982,0.92968,0.854,0.38631,0.47959,0.7905,0.0001213,0.0001213,0.0001213
54,3902.66,0.43725,0.53131,0.80091,0.87486,0.86017,0.92926,0.85403,0.38467,0.48048,0.79048,0.000118825,0.000118825,0.000118825
55,3970.55,0.43692,0.5264,0.80002,0.87769,0.86362,0.93113,0.85413,0.38957,0.4735,0.79072,0.00011635,0.00011635,0.00011635
56,4040.64,0.43891,0.52598,0.80111,0.87359,0.86921,0.93147,0.85565,0.38417,0.47045,0.79042,0.000113875,0.000113875,0.000113875
57,4113.7,0.43851,0.52018,0.80112,0.86376,0.8787,0.93077,0.85708,0.3812,0.47167,0.79036,0.0001114,0.0001114,0.0001114
58,4185.43,0.43936,0.52239,0.80014,0.88762,0.86049,0.93172,0.85725,0.38421,0.46983,0.79039,0.000108925,0.000108925,0.000108925
59,4257.9,0.43578,0.51017,0.80053,0.88619,0.8586,0.93094,0.85569,0.3854,0.47007,0.79009,0.00010645,0.00010645,0.00010645
60,4329.1,0.43731,0.50989,0.8009,0.87434,0.86991,0.93126,0.85643,0.3839,0.46976,0.79026,0.000103975,0.000103975,0.000103975
61,4399.79,0.43581,0.50641,0.80058,0.86467,0.87796,0.93069,0.85545,0.38563,0.4684,0.79051,0.0001015,0.0001015,0.0001015
62,4470.48,0.43634,0.50089,0.79954,0.87881,0.87128,0.93142,0.85568,0.38682,0.46295,0.79035,9.9025e-05,9.9025e-05,9.9025e-05
